バックテスト,,,,,,,,
Open Time,Type,Size,Item,Price,Close Time,Price,Profit,MA
2022.11.15 08:00:31,sell,0.01,usdjpy,139.391,2022.11.15 08:24:33,139.592,-201,25
2022.10.13 13:00:31,buy,0.01,usdjpy,147.324,2022.10.13 13:22:13,146.995,-329,25
2022.10.04 09:00:30,buy,0.01,usdjpy,144.761,2022.10.04 14:00:31,144.547,-214,25
2022.09.29 06:00:34,buy,0.01,usdjpy,144.644,2022.09.29 15:12:43,144.439,-205,25
2022.09.16 07:00:31,buy,0.01,usdjpy,143.602,2022.09.16 07:18:15,143.356,-246,25
2022.09.13 01:00:30,sell,0.01,usdjpy,142.45,2022.09.13 01:25:21,142.664,-214,25
2022.08.25 05:00:31,sell,0.01,usdjpy,136.645,2022.08.25 12:31:15,136.849,-204,25
2022.08.23 13:00:32,buy,0.01,usdjpy,137.491,2022.08.23 13:45:08,137.068,-423,25
2022.08.22 14:00:30,buy,0.01,usdjpy,137.334,2022.08.22 14:55:21,137.132,-202,25
,,,,,,,,
実際のトレード,,,,,,,,
2022.11.18 19:00,buy,0.01,usdjpy,140.346,2022.11.21 06:33,140.746,2.89,
2022.11.10 14:00,sell,0.01,usdjpy,143.767,2022.11.10 14:24,143.367,2.79,
2022.10.13 13:00,buy,0.01,usdjpy,147.347,2022.10.13 13:20,147.146,-1.37,
2022.08.23 13:00,buy,0.01,usdjpy,137.502,2022.08.23 13:45,137.302,-1.46,
2022.08.22 14:00,buy,0.01,usdjpy,137.339,2022.08.22 14:55,137.139,-1.46,
2022.08.18 17:00,buy,0.01,usdjpy,135.742,2022.08.19 00:13,136.142,2.99,
